TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
2021-01-01,20.5,25.2,22.0,85.0,2.1,3.8,3.99,322.0,2.65,ERA5
2021-01-02,19.9,26.8,22.9,79.0,0.3,10.1,3.83,314.0,2.59,ERA5
2021-01-03,19.8,28.3,22.8,79.0,4.4,7.3,3.69,325.0,2.04,ERA5
2021-01-04,20.4,26.9,22.7,79.0,7.7,6.7,3.73,314.0,2.33,ERA5
2021-01-05,20.6,25.1,22.5,85.0,16.7,3.8,3.41,287.0,1.74,ERA5
2021-01-06,20.1,26.9,23.0,85.0,5.6,7.9,4.08,282.0,1.64,ERA5
2021-01-07,20.9,23.9,22.1,88.0,19.8,0.0,2.55,281.0,1.38,ERA5
2021-01-08,20.8,26.9,23.3,82.0,7.1,8.7,4.31,296.0,1.71,ERA5
2021-01-09,20.4,26.6,22.6,85.0,17.4,7.4,5.06,317.0,2.2,ERA5
2021-01-10,20.4,25.0,22.1,87.0,12.2,1.4,3.86,329.0,2.02,ERA5
2021-01-11,20.8,26.1,22.8,83.0,1.4,6.5,4.14,308.0,2.4,ERA5
2021-01-12,20.4,25.4,22.4,85.0,14.2,6.4,4.16,316.0,2.62,ERA5
2021-01-13,20.8,26.3,22.6,80.0,1.4,10.1,4.07,318.0,2.96,ERA5
2021-01-14,19.9,24.8,21.8,82.0,1.0,2.8,2.21,315.0,1.46,ERA5
2021-01-15,20.2,26.2,22.6,77.0,0.1,7.4,2.13,307.0,1.37,ERA5
2021-01-16,18.0,27.6,23.1,72.0,0.7,11.0,2.6,338.0,1.52,ERA5
2021-01-17,17.9,26.4,22.5,80.0,1.5,10.2,4.16,307.0,2.33,ERA5
2021-01-18,19.4,24.9,22.0,86.0,4.9,10.0,5.86,299.0,2.94,ERA5
2021-01-19,19.5,23.7,21.4,85.0,3.4,1.4,5.52,293.0,2.63,ERA5
2021-01-20,19.8,25.9,22.2,87.0,12.1,6.2,3.51,275.0,1.59,ERA5
2021-01-21,20.5,24.6,22.4,88.0,11.2,3.9,4.0,284.0,1.83,ERA5
2021-01-22,19.8,26.9,22.6,80.0,2.0,6.7,3.2,306.0,1.66,ERA5
2021-01-23,20.0,27.0,22.8,81.0,2.1,8.1,3.83,290.0,1.99,ERA5
2021-01-24,20.4,24.3,22.2,87.0,8.0,1.0,3.51,268.0,1.29,ERA5
2021-01-25,19.1,27.2,22.5,84.0,7.6,8.3,3.62,281.0,1.58,ERA5
2021-01-26,20.4,26.5,22.4,86.0,8.4,6.3,5.07,316.0,2.64,ERA5
2021-01-27,20.5,23.2,21.5,90.0,14.3,1.5,4.6,318.0,3.6,ERA5
2021-01-28,20.2,24.2,21.5,89.0,12.1,3.2,4.24,315.0,2.93,ERA5
2021-01-29,20.0,24.0,21.3,88.0,4.2,3.2,5.49,305.0,3.32,ERA5
2021-01-30,19.8,23.9,21.3,87.0,10.3,1.4,5.51,296.0,2.94,ERA5
2021-01-31,19.5,24.1,21.6,89.0,10.7,5.5,5.47,293.0,2.79,ERA5
2021-02-01,19.7,26.0,22.2,84.0,2.5,8.4,4.65,294.0,2.52,ERA5
2021-02-02,20.5,24.1,22.1,89.0,3.0,5.6,4.79,293.0,2.71,ERA5
2021-02-03,20.0,23.3,21.7,88.0,18.8,0.0,3.54,301.0,2.19,ERA5
2021-02-04,20.4,25.9,22.3,85.0,6.7,9.3,6.31,295.0,3.66,ERA5
2021-02-05,20.5,25.2,22.3,85.0,2.2,8.5,5.19,296.0,3.16,ERA5
2021-02-06,20.6,25.8,22.4,85.0,4.0,10.7,6.13,290.0,3.13,ERA5
2021-02-07,20.0,25.3,22.3,88.0,4.4,6.4,5.78,293.0,3.16,ERA5
2021-02-08,20.8,25.1,22.3,89.0,6.1,3.8,5.98,292.0,3.19,ERA5
2021-02-09,20.7,25.5,22.5,86.0,4.2,11.6,5.46,297.0,2.83,ERA5
2021-02-10,20.4,26.3,22.6,86.0,6.6,7.6,4.27,305.0,2.32,ERA5
2021-02-11,18.9,27.4,22.8,84.0,2.4,10.8,4.96,309.0,2.42,ERA5
2021-02-12,19.0,27.4,22.6,85.0,3.7,9.7,4.55,291.0,2.02,ERA5
2021-02-13,20.0,25.4,22.6,84.0,1.8,10.4,4.05,291.0,2.0,ERA5
2021-02-14,20.5,25.9,22.6,88.0,3.8,7.0,3.74,281.0,1.89,ERA5
2021-02-15,20.1,25.8,22.4,87.0,1.4,6.4,3.98,282.0,1.83,ERA5
2021-02-16,19.9,25.2,22.3,89.0,3.8,7.8,3.61,280.0,1.73,ERA5
2021-02-17,20.1,23.6,21.5,86.0,25.6,0.0,3.76,329.0,2.5,ERA5
2021-02-18,18.3,25.1,21.9,84.0,3.9,7.2,4.41,304.0,2.36,ERA5
2021-02-19,20.3,23.6,21.2,91.0,22.0,0.9,5.19,285.0,2.26,ERA5
2021-02-20,19.9,25.0,21.8,88.0,4.1,10.4,5.17,283.0,2.21,ERA5
2021-02-21,20.0,25.5,22.3,85.0,3.2,7.9,3.98,291.0,1.87,ERA5
2021-02-22,19.2,26.8,22.6,83.0,0.1,8.8,2.95,302.0,1.7,ERA5
2021-02-23,18.5,28.1,22.9,75.0,0.6,8.0,4.57,312.0,2.82,ERA5
2021-02-24,20.5,24.9,22.0,86.0,5.7,2.5,5.52,314.0,3.99,ERA5
2021-02-25,20.0,25.8,22.5,84.0,4.2,7.4,6.24,304.0,3.19,ERA5
2021-02-26,20.2,24.8,22.2,87.0,7.4,7.0,3.68,293.0,1.76,ERA5
2021-02-27,19.1,28.2,22.9,83.0,2.3,11.0,4.27,291.0,1.79,ERA5
2021-02-28,19.4,27.9,23.4,75.0,0.2,9.3,4.32,318.0,2.38,ERA5
2021-03-01,18.9,28.5,23.2,77.0,0.1,10.0,4.1,297.0,1.88,ERA5
2021-03-02,19.6,25.6,22.8,84.0,2.5,11.0,4.3,288.0,1.98,ERA5
2021-03-03,19.0,26.5,22.7,84.0,0.8,8.3,4.1,285.0,1.72,ERA5
2021-03-04,18.5,26.5,22.8,81.0,0.1,8.3,3.1,271.0,1.27,ERA5
2021-03-05,19.4,28.6,22.9,82.0,0.4,9.5,2.94,187.0,1.26,ERA5
2021-03-06,18.8,27.6,23.0,80.0,0.5,8.8,3.26,288.0,1.35,ERA5
2021-03-07,19.9,22.9,21.6,85.0,9.7,0.6,2.62,317.0,1.47,ERA5
2021-03-08,19.8,24.3,21.8,84.0,25.9,2.7,2.56,309.0,1.5,ERA5
2021-03-09,19.6,26.0,22.4,80.0,2.0,10.4,4.02,302.0,2.03,ERA5
2021-03-10,18.6,27.4,22.4,82.0,2.0,12.0,5.15,292.0,2.01,ERA5
2021-03-11,20.2,26.0,22.4,86.0,3.3,8.1,4.04,280.0,1.65,ERA5
2021-03-12,19.9,26.6,23.0,80.0,1.8,8.2,4.03,306.0,1.77,ERA5
2021-03-13,19.5,27.0,22.6,73.0,0.3,8.2,4.5,314.0,2.48,ERA5
2021-03-14,18.3,27.6,22.4,80.0,0.8,8.2,4.11,303.0,2.13,ERA5
2021-03-15,20.0,27.2,23.0,78.0,1.1,6.4,3.0,269.0,1.45,ERA5
2021-03-16,18.5,27.0,22.2,88.0,10.1,8.6,2.13,148.0,1.08,ERA5
2021-03-17,18.5,27.4,22.5,87.0,14.8,9.6,2.8,187.0,1.32,ERA5
2021-03-18,18.6,26.7,22.2,88.0,37.3,9.0,2.82,173.0,1.45,ERA5
2021-03-19,19.5,27.0,23.0,82.0,3.5,9.8,3.64,298.0,1.49,ERA5
2021-03-20,19.2,27.0,22.9,81.0,0.2,9.5,3.91,303.0,1.82,ERA5
2021-03-21,19.0,27.0,22.7,79.0,0.9,7.1,3.0,315.0,1.54,ERA5
