TANGGAL,FF_AVG,FF_X,RH_AVG,TAVG,RR,cluster,cluster_label
2021-01-08,1.71,4.31,82.0,23.3,7.1,1,Angin Tenang
2021-01-09,2.2,5.06,85.0,22.6,17.4,1,Angin Tenang
2021-01-10,2.02,3.86,87.0,22.1,12.2,1,Angin Tenang
2021-01-11,2.4,4.14,83.0,22.8,1.4,1,Angin Tenang
2021-01-12,2.62,4.16,85.0,22.4,14.2,1,Angin Tenang
2021-01-13,2.96,4.07,80.0,22.6,1.4,1,Angin Tenang
2021-01-14,1.46,2.21,82.0,21.8,1.0,1,Angin Tenang
2021-01-15,1.37,2.13,77.0,22.6,0.1,1,Angin Tenang
2021-01-16,1.52,2.6,72.0,23.1,0.7,1,Angin Tenang
2021-01-17,2.33,4.16,80.0,22.5,1.5,1,Angin Tenang
2021-01-18,2.94,5.86,86.0,22.0,4.9,1,Angin Tenang
2021-01-19,2.63,5.52,85.0,21.4,3.4,1,Angin Tenang
2021-01-20,1.59,3.51,87.0,22.2,12.1,1,Angin Tenang
2021-01-21,1.83,4.0,88.0,22.4,11.2,1,Angin Tenang
2021-01-22,1.66,3.2,80.0,22.6,2.0,1,Angin Tenang
2021-01-23,1.99,3.83,81.0,22.8,2.1,1,Angin Tenang
2021-01-24,1.29,3.51,87.0,22.2,8.0,1,Angin Tenang
2021-01-25,1.58,3.62,84.0,22.5,7.6,1,Angin Tenang
2021-01-26,2.64,5.07,86.0,22.4,8.4,1,Angin Tenang
2021-01-27,3.6,4.6,90.0,21.5,14.3,1,Angin Tenang
2021-01-28,2.93,4.24,89.0,21.5,12.1,1,Angin Tenang
2021-01-29,3.32,5.49,88.0,21.3,4.2,1,Angin Tenang
2021-01-30,2.94,5.51,87.0,21.3,10.3,1,Angin Tenang
2021-01-31,2.79,5.47,89.0,21.6,10.7,1,Angin Tenang
2021-02-01,2.52,4.65,84.0,22.2,2.5,1,Angin Tenang
2021-02-02,2.71,4.79,89.0,22.1,3.0,1,Angin Tenang
2021-02-03,2.19,3.54,88.0,21.7,18.8,1,Angin Tenang
2021-02-04,3.66,6.31,85.0,22.3,6.7,1,Angin Tenang
2021-02-05,3.16,5.19,85.0,22.3,2.2,1,Angin Tenang
2021-02-06,3.13,6.13,85.0,22.4,4.0,1,Angin Tenang
2021-02-07,3.16,5.78,88.0,22.3,4.4,1,Angin Tenang
2021-02-08,3.19,5.98,89.0,22.3,6.1,1,Angin Tenang
2021-02-09,2.83,5.46,86.0,22.5,4.2,1,Angin Tenang
2021-02-10,2.32,4.27,86.0,22.6,6.6,1,Angin Tenang
2021-02-11,2.42,4.96,84.0,22.8,2.4,1,Angin Tenang
2021-02-12,2.02,4.55,85.0,22.6,3.7,1,Angin Tenang
2021-02-13,2.0,4.05,84.0,22.6,1.8,1,Angin Tenang
2021-02-14,1.89,3.74,88.0,22.6,3.8,1,Angin Tenang
2021-02-15,1.83,3.98,87.0,22.4,1.4,1,Angin Tenang
2021-02-16,1.73,3.61,89.0,22.3,3.8,1,Angin Tenang
2021-02-17,2.5,3.76,86.0,21.5,25.6,1,Angin Tenang
2021-02-18,2.36,4.41,84.0,21.9,3.9,1,Angin Tenang
2021-02-19,2.26,5.19,91.0,21.2,22.0,1,Angin Tenang
2021-02-20,2.21,5.17,88.0,21.8,4.1,1,Angin Tenang
2021-02-21,1.87,3.98,85.0,22.3,3.2,1,Angin Tenang
2021-02-22,1.7,2.95,83.0,22.6,0.1,1,Angin Tenang
2021-02-23,2.82,4.57,75.0,22.9,0.6,1,Angin Tenang
2021-02-24,3.99,5.52,86.0,22.0,5.7,1,Angin Tenang
2021-02-25,3.19,6.24,84.0,22.5,4.2,1,Angin Tenang
2021-02-26,1.76,3.68,87.0,22.2,7.4,1,Angin Tenang
2021-02-27,1.79,4.27,83.0,22.9,2.3,1,Angin Tenang
2021-02-28,2.38,4.32,75.0,23.4,0.2,1,Angin Tenang
2021-03-01,1.88,4.1,77.0,23.2,0.1,1,Angin Tenang
2021-03-02,1.98,4.3,84.0,22.8,2.5,1,Angin Tenang
2021-03-03,1.72,4.1,84.0,22.7,0.8,1,Angin Tenang
2021-03-04,1.27,3.1,81.0,22.8,0.1,1,Angin Tenang
2021-03-05,1.26,2.94,82.0,22.9,0.4,1,Angin Tenang
2021-03-06,1.35,3.26,80.0,23.0,0.5,1,Angin Tenang
2021-03-07,1.47,2.62,85.0,21.6,9.7,1,Angin Tenang
2021-03-08,1.5,2.56,84.0,21.8,25.9,1,Angin Tenang
2021-03-09,2.03,4.02,80.0,22.4,2.0,1,Angin Tenang
2021-03-10,2.01,5.15,82.0,22.4,2.0,1,Angin Tenang
2021-03-11,1.65,4.04,86.0,22.4,3.3,1,Angin Tenang
2021-03-12,1.77,4.03,80.0,23.0,1.8,1,Angin Tenang
2021-03-13,2.48,4.5,73.0,22.6,0.3,1,Angin Tenang
2021-03-14,2.13,4.11,80.0,22.4,0.8,1,Angin Tenang
2021-03-15,1.45,3.0,78.0,23.0,1.1,1,Angin Tenang
2021-03-16,1.08,2.13,88.0,22.2,10.1,1,Angin Tenang
2021-03-17,1.32,2.8,87.0,22.5,14.8,1,Angin Tenang
2021-03-18,1.45,2.82,88.0,22.2,37.3,0,Angin Ringan
2021-03-19,1.49,3.64,82.0,23.0,3.5,1,Angin Tenang
2021-03-20,1.82,3.91,81.0,22.9,0.2,1,Angin Tenang
2021-03-21,1.54,3.0,79.0,22.7,0.9,1,Angin Tenang
2021-03-22,1.65,3.81,83.0,22.8,2.1,1,Angin Tenang
2021-03-23,1.74,3.98,82.0,22.7,0.9,1,Angin Tenang
2021-03-24,1.91,4.03,80.0,22.8,0.8,1,Angin Tenang
2021-03-25,1.98,3.1,81.0,22.7,0.6,1,Angin Tenang
2021-03-26,1.74,2.44,81.0,23.0,0.8,1,Angin Tenang
2021-03-27,1.3,3.14,85.0,22.9,4.4,1,Angin Tenang
2021-03-28,1.37,2.3,82.0,23.6,1.6,1,Angin Tenang
2021-03-29,1.89,3.14,81.0,23.6,0.0,1,Angin Tenang
2021-03-30,1.19,2.02,92.0,21.8,18.3,1,Angin Tenang
2021-03-31,1.22,2.69,86.0,22.9,87.9,0,Angin Ringan
2021-04-01,1.75,3.73,82.0,23.0,22.2,1,Angin Tenang
2021-04-02,1.49,3.35,75.0,23.5,3.2,1,Angin Tenang
2021-04-03,1.32,3.49,87.0,22.3,8.5,1,Angin Tenang
2021-04-04,1.33,4.13,85.0,23.0,6.4,1,Angin Tenang
2021-04-05,1.95,5.56,85.0,22.7,1.9,1,Angin Tenang
2021-04-06,2.93,4.75,79.0,23.3,0.9,1,Angin Tenang
2021-04-07,3.04,4.15,81.0,23.1,0.5,1,Angin Tenang
2021-04-08,3.1,5.85,77.0,23.3,0.3,1,Angin Tenang
2021-04-09,2.32,4.46,82.0,23.0,0.8,1,Angin Tenang
2021-04-10,1.58,3.61,83.0,22.8,0.9,1,Angin Tenang
2021-04-11,1.28,2.98,84.0,22.5,3.1,1,Angin Tenang
2021-04-12,1.25,2.96,80.0,23.3,0.6,1,Angin Tenang
2021-04-13,1.21,2.75,83.0,22.5,0.7,1,Angin Tenang
2021-04-14,1.32,3.04,84.0,22.4,3.8,1,Angin Tenang
2021-04-15,1.53,2.86,89.0,21.7,20.1,1,Angin Tenang
2021-04-16,1.53,2.52,78.0,23.3,0.5,1,Angin Tenang
2021-04-17,2.09,3.85,80.0,22.9,2.3,1,Angin Tenang
2021-04-18,1.21,2.34,81.0,22.8,1.2,1,Angin Tenang
2021-04-19,1.61,2.64,83.0,22.9,0.8,1,Angin Tenang
2021-04-20,1.92,3.14,74.0,23.0,0.0,1,Angin Tenang
2021-04-21,2.12,3.55,75.0,22.4,0.0,1,Angin Tenang
2021-04-22,2.19,3.28,74.0,22.7,0.3,1,Angin Tenang
2021-04-23,1.5,3.4,78.0,22.7,0.3,1,Angin Tenang
2021-04-24,2.03,4.25,75.0,22.6,0.1,1,Angin Tenang
2021-04-25,1.35,2.32,81.0,22.7,2.4,1,Angin Tenang
2021-04-26,1.52,2.51,77.0,23.4,0.6,1,Angin Tenang
2021-04-27,1.65,2.82,79.0,23.3,0.7,1,Angin Tenang
2021-04-28,1.61,2.94,88.0,22.4,34.9,1,Angin Tenang
2021-04-29,1.35,3.23,81.0,23.3,3.3,1,Angin Tenang
2021-04-30,1.2,3.11,86.0,23.0,19.2,1,Angin Tenang
2021-05-01,1.3,2.2,83.0,23.8,1.2,1,Angin Tenang
2021-05-02,1.37,3.0,83.0,23.1,0.7,1,Angin Tenang
2021-05-03,1.27,2.2,82.0,23.4,1.6,1,Angin Tenang
2021-05-04,1.23,2.61,80.0,23.2,2.1,1,Angin Tenang
2021-05-05,1.21,2.22,82.0,23.7,1.2,1,Angin Tenang
2021-05-06,1.42,2.15,83.0,23.1,0.8,1,Angin Tenang
2021-05-07,1.4,2.38,80.0,23.6,0.4,1,Angin Tenang
2021-05-08,1.27,2.33,81.0,24.1,2.0,1,Angin Tenang
2021-05-09,1.66,2.2,72.0,24.3,0.0,1,Angin Tenang
2021-05-10,2.07,3.04,73.0,23.4,0.0,1,Angin Tenang
2021-05-11,1.59,2.72,78.0,23.3,0.7,1,Angin Tenang
2021-05-12,1.62,2.64,83.0,23.5,1.8,1,Angin Tenang
2021-05-13,1.72,2.38,82.0,23.2,1.2,1,Angin Tenang
2021-05-14,1.42,2.08,80.0,23.2,0.8,1,Angin Tenang
2021-05-15,1.43,2.13,81.0,24.0,2.4,1,Angin Tenang
2021-05-16,1.61,2.35,82.0,23.5,9.8,1,Angin Tenang
2021-05-17,1.35,1.91,83.0,23.0,2.0,1,Angin Tenang
2021-05-18,1.53,2.79,84.0,23.1,48.7,0,Angin Ringan
2021-05-19,1.25,2.4,83.0,23.4,0.8,1,Angin Tenang
2021-05-20,1.22,1.65,82.0,23.2,1.2,1,Angin Tenang
2021-05-21,1.55,2.87,83.0,23.3,5.9,1,Angin Tenang
